รหัสวิชา,ชื่อวิชา,อาจารย์,ห้อง,ประเภท,วัน,ชั่วโมง,ช่วงเวลา
ENGCE123_sec1,system,อ.ณัฐชาสิทธ ชูเกียรติขจร,ทค2_201,theory,อังคาร,14,อังคาร_14
ENGCE106_sec3_lab,data communication,อ.อรรถพล วิเวก,ทค2_301,lab,อังคาร,15,อังคาร_15
ENGCE123_sec1,system,อ.ณัฐชาสิทธ ชูเกียรติขจร,ทค2_201,theory,อังคาร,15,อังคาร_15
ENGCE125_sec2,OS,อ.ปิยพล ยืนยงสถาวร,ทค1_205,theory,อังคาร,15,อังคาร_15
ENGCE106_sec2,data communication,อ.อรรถพล วิเวก,ทค2_301,theory,อังคาร,16,อังคาร_16
ENGCE120_sec1,basic computer,อ.ณัฐชาสิทธ ชูเกียรติขจร,ทค1_201,theory,อังคาร,16,อังคาร_16
ENGCE125_sec2,OS,อ.ปิยพล ยืนยงสถาวร,ทค1_205,theory,อังคาร,16,อังคาร_16
ENGCE106_sec2,data communication,อ.อรรถพล วิเวก,ทค2_301,theory,อังคาร,17,อังคาร_17
ENGCE117_sec2,com programming,อ.กิตตินันท น้อยมณี,ทค2_101,theory,อังคาร,17,อังคาร_17
ENGCE117_sec3_lab,com programming,อ.อนันท ทับเกิด,ทค1_202,lab,อังคาร,17,อังคาร_17
ENGCE120_sec1,basic computer,อ.ณัฐชาสิทธ ชูเกียรติขจร,ทค1_201,theory,อังคาร,17,อังคาร_17
ENGCE125_sec2,OS,อ.ปิยพล ยืนยงสถาวร,ทค1_205,theory,อังคาร,17,อังคาร_17
ENGEE105_sec1,คอม,บิว,ทค2_201,theory,อังคาร,17,อังคาร_17
ENGCE106_sec2,data communication,อ.อรรถพล วิเวก,ทค2_301,theory,อังคาร,18,อังคาร_18
ENGCE110_sec2_lab,computer and data,อ.พิชิต ทนันชัย,ทค1_302,lab,อังคาร,18,อังคาร_18
ENGCE117_sec2,com programming,อ.กิตตินันท น้อยมณี,ทค2_101,theory,อังคาร,18,อังคาร_18
ENGCE117_sec3_lab,com programming,อ.อนันท ทับเกิด,ทค1_202,lab,อังคาร,18,อังคาร_18
ENGCE120_sec1,basic computer,อ.ณัฐชาสิทธ ชูเกียรติขจร,ทค1_201,theory,อังคาร,18,อังคาร_18
ENGEE105_sec1,คอม,บิว,ทค2_201,theory,อังคาร,18,อังคาร_18
ENGCE110_sec2_lab,computer and data,อ.พิชิต ทนันชัย,ทค1_302,lab,อังคาร,19,อังคาร_19
ENGCE117_sec2,com programming,อ.กิตตินันท น้อยมณี,ทค2_101,theory,อังคาร,19,อังคาร_19
